timestamp, duration, seqNum, isFault, 							args 
 		0, 		  0, 	  1,   False,    						  ls 
	   10, 		  0,	  2,   False, 	 					  ls -la
	   25, 		  5, 	  3,  	True, 	 			 ping google.com
	   25, 		 10, 	  4,  	True, 	 			 ping github.com
	   28, 		  9, 	  5,  	True, 	 			   ping unibo.it
	   40, 		  0, 	  6,   False, 	 					   ss -l
 	   50, 		  0, 	  7,   False,    						  ls 
	   60, 		  0,	  8,   False, 	 					  ls -la
	   80, 		  0, 	  9,  	True, 	 			 		   ls -l
	   90, 		 10, 	 10,    True, 	 			 ping github.com
	   93, 		  5, 	 11,    True, 	 			 ping google.com
